pc1,pc2,digit,speaker,var1_pct,var2_pct
-8.552299,-1.395011,0,george,41.47,12.23
12.565988,-3.990348,0,george,41.47,12.23
13.423871,-14.432449,0,george,41.47,12.23
4.194665,2.767487,0,george,41.47,12.23
7.751902,1.419228,0,george,41.47,12.23
9.058382,-0.630926,0,george,41.47,12.23
7.199340,-1.071627,0,george,41.47,12.23
6.892344,-1.944141,0,george,41.47,12.23
11.728245,-3.592597,0,george,41.47,12.23
10.038923,-3.810360,0,george,41.47,12.23
12.735907,-5.653188,0,george,41.47,12.23
9.473635,-4.298083,0,george,41.47,12.23
12.615015,-5.504274,0,george,41.47,12.23
8.912027,-1.922586,0,george,41.47,12.23
8.780244,-1.679776,0,george,41.47,12.23
5.719972,0.232872,0,george,41.47,12.23
5.176811,-0.297951,0,george,41.47,12.23
5.337311,-0.207235,0,george,41.47,12.23
2.684105,1.480337,0,george,41.47,12.23
10.581393,-3.670339,0,george,41.47,12.23
9.848059,-2.233170,0,george,41.47,12.23
12.403971,-1.160484,0,george,41.47,12.23
9.227661,0.535847,0,george,41.47,12.23
11.217813,-3.416100,0,george,41.47,12.23
-0.081680,1.656728,0,george,41.47,12.23
-11.435116,-2.121580,0,george,41.47,12.23
6.469704,-2.170234,0,george,41.47,12.23
2.240236,0.548340,0,george,41.47,12.23
0.342910,0.694302,0,george,41.47,12.23
-1.237937,1.367795,0,george,41.47,12.23
-3.385149,-1.002703,0,george,41.47,12.23
-8.992942,-2.450558,0,george,41.47,12.23
-6.291388,0.979345,0,george,41.47,12.23
-4.467993,2.119929,0,george,41.47,12.23
6.804159,-1.158392,0,george,41.47,12.23
8.516891,-0.064208,0,george,41.47,12.23
-2.375852,1.821990,0,george,41.47,12.23
-0.158139,0.520529,0,george,41.47,12.23
-0.451527,0.428040,0,george,41.47,12.23
3.582670,1.023984,0,george,41.47,12.23
5.691014,0.428831,0,george,41.47,12.23
3.287631,1.469855,0,george,41.47,12.23
4.483743,0.638155,0,george,41.47,12.23
6.036003,0.841518,0,george,41.47,12.23
6.217864,1.337444,0,george,41.47,12.23
11.668718,-5.208638,0,george,41.47,12.23
11.005483,-5.875835,0,george,41.47,12.23
13.333792,-5.419365,0,george,41.47,12.23
7.459154,-0.694127,0,george,41.47,12.23
10.337397,-1.954171,0,george,41.47,12.23
12.557704,-4.138677,0,jackson,41.47,12.23
8.016711,-0.838581,0,jackson,41.47,12.23
13.926692,-6.028919,0,jackson,41.47,12.23
11.535294,-3.605139,0,jackson,41.47,12.23
6.506547,-0.651155,0,jackson,41.47,12.23
12.629240,-3.554075,0,jackson,41.47,12.23
11.972369,-5.363397,0,jackson,41.47,12.23
13.761581,-6.000300,0,jackson,41.47,12.23
8.068570,-1.394667,0,jackson,41.47,12.23
5.614101,0.036864,0,jackson,41.47,12.23
14.858338,-6.662853,0,jackson,41.47,12.23
10.360525,-6.026106,0,jackson,41.47,12.23
6.867959,-1.684174,0,jackson,41.47,12.23
11.633093,-6.166334,0,jackson,41.47,12.23
11.966732,-5.105483,0,jackson,41.47,12.23
12.601885,-3.542006,0,jackson,41.47,12.23
13.058581,-4.434052,0,jackson,41.47,12.23
14.033218,-7.679951,0,jackson,41.47,12.23
12.879953,-5.104895,0,jackson,41.47,12.23
13.345444,-2.535931,0,jackson,41.47,12.23
16.886778,-5.332939,0,jackson,41.47,12.23
15.018777,-5.284855,0,jackson,41.47,12.23
13.989199,-2.474490,0,jackson,41.47,12.23
11.993924,-4.277751,0,jackson,41.47,12.23
15.648943,-6.859763,0,jackson,41.47,12.23
13.238088,-1.814795,0,jackson,41.47,12.23
14.078768,-2.979065,0,jackson,41.47,12.23
16.838460,-5.934634,0,jackson,41.47,12.23
16.516926,-5.563116,0,jackson,41.47,12.23
14.610807,-3.724725,0,jackson,41.47,12.23
15.016742,-2.413414,0,jackson,41.47,12.23
14.353304,-3.400639,0,jackson,41.47,12.23
16.229594,-6.073013,0,jackson,41.47,12.23
13.837758,-1.888731,0,jackson,41.47,12.23
8.764583,-0.782798,0,jackson,41.47,12.23
15.988544,-9.198542,0,jackson,41.47,12.23
15.035905,-8.354095,0,jackson,41.47,12.23
15.966810,-8.389155,0,jackson,41.47,12.23
14.449004,-4.362682,0,jackson,41.47,12.23
14.636997,-7.809719,0,jackson,41.47,12.23
15.130572,-8.931585,0,jackson,41.47,12.23
14.588012,-9.488955,0,jackson,41.47,12.23
13.894743,-7.276588,0,jackson,41.47,12.23
14.765333,-7.700642,0,jackson,41.47,12.23
15.498211,-7.411234,0,jackson,41.47,12.23
